#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
6   1   55.000000   0.020000   2426.689448  1.745015750000e-03   1.687649660000e-03    7.190931461948e-07   6.954534958690e-07   80
6   2   55.000000   0.060000   2321.795750  4.244860840000e-04   3.997697750000e-04    1.828266263301e-07   1.721812846802e-07   80
6   3   55.000000   0.100000   2172.367173  8.636205290000e-05   7.714891050000e-05    3.975481399893e-08   3.551375267444e-08   80
6   4   55.000000   0.140000   2002.593572  2.075672720000e-05   1.709883880000e-05    1.036492251359e-08   8.538346991159e-09   80
6   5   55.000000   0.180000   1872.123890  5.971823220000e-06   4.277207850000e-06    3.189865399346e-09   2.284682051678e-09   80
6   6   55.000000   0.220000   1779.833183  2.053803920000e-06   1.413257480000e-06    1.153930570357e-09   7.940392917149e-10   80
6   7   55.000000   0.260000   1685.454204  7.905190590000e-07   5.120207670000e-07    4.690243479318e-10   3.037880031299e-10   80
6   8   55.000000   0.300000   1608.725062  3.445465270000e-07   2.357214390000e-07    2.141736553614e-10   1.465268643897e-10   80
6   9   55.000000   0.340000   1549.985026  1.680895090000e-07   1.282630860000e-07    1.084458921734e-10   8.275117749428e-11   80
6   10   55.000000   0.380000   1508.691172  9.025263790000e-08   8.130874480000e-08    5.982181083512e-11   5.389356437488e-11   80
6   11   55.000000   0.420000   1474.624100  5.244016650000e-08   5.721357840000e-08    3.556171806768e-11   3.879875447580e-11   80
6   12   55.000000   0.460000   1454.895337  3.232527150000e-08   4.393593590000e-08    2.221827967822e-11   3.019869181146e-11   80
6   12   55.000000   0.460000   5381.128095  1.156034620000e-07   1.168952810000e-07    2.148312769351e-11   2.172319241176e-11   580_set1
6   12   55.000000   0.460000   5423.470158  1.126088050000e-07   1.139922510000e-07    2.076323861281e-11   2.101832363397e-11   580_set2
6   13   55.000000   0.500000   1442.414354  2.072270960000e-08   3.558031840000e-08    1.436668287620e-11   2.466719656618e-11   80
6   13   55.000000   0.500000   5167.767314  7.574016600000e-08   8.849643170000e-08    1.465626476541e-11   1.712469357129e-11   580_set1
6   13   55.000000   0.500000   5159.416907  7.503212990000e-08   8.270382880000e-08    1.454275381356e-11   1.602968519326e-11   580_set2
6   14   55.000000   0.540000   1441.585278  1.371767090000e-08   2.871470340000e-08    9.515684648938e-12   1.991883785040e-11   80
6   14   55.000000   0.540000   4963.239349  4.979254310000e-08   6.532650440000e-08    1.003226715432e-11   1.316207013332e-11   580_set1
6   14   55.000000   0.540000   4940.652000  4.911508040000e-08   6.464780870000e-08    9.941011915027e-12   1.308487395996e-11   580_set2
6   15   55.000000   0.580000   1430.163091  9.126484390000e-09   2.445193010000e-08    6.381429116324e-12   1.709730187688e-11   80
6   15   55.000000   0.580000   4914.953205  3.367633750000e-08   5.110162500000e-08    6.851812437551e-12   1.039717426974e-11   580_set1
6   15   55.000000   0.580000   4893.568378  3.352614120000e-08   5.110367020000e-08    6.851062171875e-12   1.044302771567e-11   580_set2
6   16   55.000000   0.620000   1410.778002  6.181826820000e-09   1.899578050000e-08    4.381856543862e-12   1.346475524361e-11   80
6   16   55.000000   0.620000   6204.096439  3.003217470000e-08   5.338111520000e-08    4.840700816837e-12   8.604172376244e-12   750_set3
6   16   55.000000   0.620000   4847.443399  2.254352160000e-08   4.024270550000e-08    4.650600274085e-12   8.301841236207e-12   580_set2
6   16   55.000000   0.620000   4834.474229  2.245930580000e-08   3.964063530000e-08    4.645656329136e-12   8.199575263472e-12   580_set1
6   16   55.000000   0.620000   5821.654077  2.327520400000e-08   4.095888140000e-08    3.998039679471e-12   7.035608928023e-12   750_set1
6   16   55.000000   0.620000   5821.880605  2.324021610000e-08   4.087984190000e-08    3.991874391935e-12   7.021758890914e-12   750_set2
6   17   55.000000   0.660000   1384.606070  4.273094700000e-09   1.498484610000e-08    3.086144711181e-12   1.082246165510e-11   80
6   17   55.000000   0.660000   4796.396189  1.510864590000e-08   3.186869250000e-08    3.149999563141e-12   6.644299437375e-12   580_set2
6   17   55.000000   0.660000   4782.274376  1.502590070000e-08   3.298896920000e-08    3.141998873048e-12   6.898175764560e-12   580_set1
6   17   55.000000   0.660000   5753.181663  1.770558210000e-08   3.848736360000e-08    3.077528772274e-12   6.689752880136e-12   750_set2
6   17   55.000000   0.660000   5901.508469  1.789387320000e-08   3.862993420000e-08    3.032084643103e-12   6.545772899068e-12   750_set3
6   17   55.000000   0.660000   5703.454514  1.684518160000e-08   3.833127020000e-08    2.953505030793e-12   6.720711124444e-12   750_set1
6   18   55.000000   0.700000   1403.816517  3.117368090000e-09   1.396471540000e-08    2.220637848500e-12   9.947678511322e-12   80
6   18   55.000000   0.700000   5838.430962  1.257535260000e-08   3.259046000000e-08    2.153892489583e-12   5.582057955659e-12   750_set2
6   18   55.000000   0.700000   4741.066378  1.007768420000e-08   2.751149420000e-08    2.125615504302e-12   5.802807218153e-12   580_set2
6   18   55.000000   0.700000   5826.584628  1.246379870000e-08   2.982280030000e-08    2.139126005328e-12   5.118401637331e-12   750_set1
6   18   55.000000   0.700000   4751.674973  1.008726380000e-08   2.694278210000e-08    2.122885899671e-12   5.670165205553e-12   580_set1
6   18   55.000000   0.700000   5756.284784  1.215368790000e-08   2.797307450000e-08    2.111377104514e-12   4.859570981921e-12   750_set3
6   19   55.000000   0.740000   4720.432558  6.734098770000e-09   2.044445460000e-08    1.426585103644e-12   4.331055332069e-12   580_set2
6   19   55.000000   0.740000   4718.917762  6.698429580000e-09   2.047171630000e-08    1.419484279625e-12   4.338222730825e-12   580_set1
