#This file contains updated Xsec and Reduced Xsec
#Xsec Units: ub * MeV^-1 *sr^-2
#Ksigcc1 Units: (ub * MeV^2 * sr^-2
#Red Xsec Units: MeV^-3
#!xb[i,0]/  yb[i,1]/   thnq_bin[f,2]/   pm_bin[f,3]/  Ksigcc1[f,4]/   pwiaXsec_theory[f,5]/    fsiXsec_theory[f,6]/   red_pwiaXsec_theory[f,7]/    red_fsiXsec_theory[f,8]/   setting[s,9]/
3   1   25.000000   0.020000   2342.517408  1.672569580000e-03   1.622555050000e-03    7.140051870214e-07   6.926544257297e-07   80
3   2   25.000000   0.060000   2149.807395  3.948808290000e-04   3.763063350000e-04    1.836819567736e-07   1.750418832288e-07   80
3   3   25.000000   0.100000   1852.008375  7.643428800000e-05   7.116069790000e-05    4.127102718960e-08   3.842352921325e-08   80
3   4   25.000000   0.140000   1530.039503  1.687965970000e-05   1.522655680000e-05    1.103217248110e-08   9.951740964952e-09   80
3   5   25.000000   0.180000   1338.302297  4.722053050000e-06   4.186629770000e-06    3.528390454522e-09   3.128313968664e-09   80
3   6   25.000000   0.220000   1215.155833  1.553590660000e-06   1.352009770000e-06    1.278511461501e-09   1.112622540487e-09   80
3   7   25.000000   0.260000   1123.357580  5.958976750000e-07   5.160264370000e-07    5.304612579371e-10   4.593608003250e-10   80
3   8   25.000000   0.300000   1037.276356  2.621796430000e-07   2.297989130000e-07    2.527577549449e-10   2.215406836093e-10   80
3   9   25.000000   0.340000   966.723236  1.361271590000e-07   1.210259500000e-07    1.408129585912e-10   1.251919323888e-10   80
3   10   25.000000   0.380000   901.790934  8.202172070000e-08   7.467839120000e-08    9.095425292887e-11   8.281120200306e-11   80
3   10   25.000000   0.380000   4564.204478  3.424099980000e-07   3.007312420000e-07    7.502074012031e-11   6.588908175555e-11   580_set1
3   10   25.000000   0.380000   4453.164323  3.213260770000e-07   2.832753060000e-07    7.215679765968e-11   6.361213857232e-11   580_set2
3   11   25.000000   0.420000   3956.482974  2.189327780000e-07   1.913412810000e-07    5.533520033796e-11   4.836145694482e-11   580_set2
3   11   25.000000   0.420000   3947.905242  2.175235150000e-07   1.885881270000e-07    5.509846403755e-11   4.776916248994e-11   580_set1
3   12   25.000000   0.460000   3562.401758  1.524533180000e-07   1.338740140000e-07    4.279509397210e-11   3.757970692086e-11   580_set1
3   12   25.000000   0.460000   3556.668046  1.517467800000e-07   1.331525590000e-07    4.266543237586e-11   3.743744349427e-11   580_set2
3   13   25.000000   0.500000   3180.471774  1.054348500000e-07   9.251168370000e-08    3.315069508301e-11   2.908740912473e-11   580_set1
3   13   25.000000   0.500000   3192.848508  1.057121530000e-07   9.360607710000e-08    3.310904126366e-11   2.931741887079e-11   580_set2
3   13   25.000000   0.500000   4557.954199  1.392778010000e-07   1.208335830000e-07    3.055708656102e-11   2.651048644291e-11   750_set3
3   13   25.000000   0.500000   4439.399200  1.331866230000e-07   1.184463050000e-07    3.000104676326e-11   2.668070602887e-11   750_set2
3   13   25.000000   0.500000   4440.369324  1.327467410000e-07   1.166356880000e-07    2.989542790563e-11   2.626711417215e-11   750_set1
3   14   25.000000   0.540000   2780.069403  7.160163670000e-08   6.250177320000e-08    2.575534143958e-11   2.248209096239e-11   580_set1
3   14   25.000000   0.540000   2783.943081  7.152053710000e-08   6.289958950000e-08    2.569037333705e-11   2.259370528416e-11   580_set2
3   14   25.000000   0.540000   4040.689471  9.807642550000e-08   8.803771440000e-08    2.427220062415e-11   2.178779513542e-11   750_set3
3   14   25.000000   0.540000   4011.300206  9.738073500000e-08   8.774555470000e-08    2.427660110164e-11   2.187459182655e-11   750_set1
3   14   25.000000   0.540000   4010.663636  9.704916180000e-08   8.792154490000e-08    2.419778136687e-11   2.192194431635e-11   750_set2
3   15   25.000000   0.580000   2409.394945  4.815078530000e-08   4.240413760000e-08    1.998459629872e-11   1.759949637480e-11   580_set2
3   15   25.000000   0.580000   2408.319965  4.809772970000e-08   4.228618000000e-08    1.997148651301e-11   1.755837289668e-11   580_set1
3   15   25.000000   0.580000   3601.601297  6.929067520000e-08   6.047252570000e-08    1.923885224545e-11   1.679045533174e-11   750_set2
